code,name,sector,big,middle,small
10040,한국내화,금속및광물,기초소재,비철금속_내화물,내화물
25540,한국단자,자동차부품,Auto,자동차부품_전기전자,전자제어부품(커넥터)
222980,한국맥널티,식료품,음식료,음료,커피
10100,한국무브넥스,자동차부품,Auto,자동차부품_동력전달,변속부품
256840,한국비엔씨,의료장비및서비스,헬스케어,의료기기_피부미용,"HA필러(Hyaluronic Acid Filler), 유착방지재(심부체강창상피복재) 등"
219750,한국비티비,의료장비및서비스,모름,모름,모름
4090,한국석유,화학,기초소재,석유화학,아스팔트 및 석유류 
25550,한국선재,금속및광물,기초소재,철강_선재가공,와이어로프 및 경강선 제조 및 판매
2200,한국수출포장,용기및포장,종이,골판지원지,골판지원지
2960,한국쉘석유,화학,기초소재,윤활유,윤활유
17890,한국알콜,화학,기초소재,석유화학,"초산에틸, 초산부틸, 정제주정 등"
240,한국앤컴퍼니,자동차부품,지주사,지주사,지주사
80720,한국유니온제약,제약,헬스케어,제약_완제의약품,"(항셍제) 항생제, 순환기계, 근골격계 등"
123890,한국자산신탁,부동산,건설,건설서비스,부동산 신탁
15760,한국전력,전력,에너지,전력_발전,전력산업
63570,한국전자금융,상업서비스,인터넷,결제시스템,ATM(점외 CD-VAN)
41460,한국전자인증,상업서비스,인터넷,결제시스템,공인인증서비스 사업(민간회사: 최대주주: 개인)
6200,한국전자홀딩스,반도체및관련장비,지주사,지주사,지주사
101680,한국정밀기계,기계,기계,공작기계,CNC 선반
39740,한국정보공학,도소매,전자제품,전자제품_유통,IT하드웨어 유통사업(한국HP 총판)
53300,한국정보인증,일반소프트웨어,인터넷,결제시스템,"공인인증서비스 사업(민간회사, 최대주주: 다우기술)"
25770,한국정보통신,상업서비스,인터넷,결제시스템,VAN사업
27970,한국제지,종이및목재,종이,백판지,백판지
23350,한국종합기술,건설,건설,건설서비스,설계/감리
25890,한국주강,금속및광물,조선,조선기자재,선박 주강
970,한국주철관,금속및광물,기초소재,철강_강관,상하수도관 생산 
104700,한국철강,금속및광물,기초소재,철강,철근
17960,한국카본,화학,조선,조선기자재,초저온보냉재 등
23760,한국캐피탈,소비자금융,금융,신용서비스,캐피탈
54040,한국컴퓨터,디스플레이및관련부품,디스플레이,디스플레이_부품,LCD Module 등
161890,한국콜마,개인생활용품,화장품,화장품_OEMODM,OEM&ODM
21650,한국큐빅,자동차부품,Auto,자동차부품_차체,자동차용 내/외장재(Curl-Fit)
161390,한국타이어앤테크놀로지,자동차부품,Auto,자동차부품_타이어,타이어
53590,한국테크놀로지,건설,건설,건설,"토목 및 건축, 주택 공급업"
34830,한국토지신탁,부동산,건설,건설서비스,부동산 신탁
7280,한국특강,금속및광물,기초소재,철강_봉형강,"형강, 봉강 등"
32300,한국파마,제약,헬스케어,제약_완제의약품,(신경계) 치매치료제 등의 정신신경계 제품
37230,한국팩키지,용기및포장,음식료,식품_포장,카톤팩(우유)
47810,한국항공우주,상업서비스,방산,방산,방산
123690,한국화장품,개인생활용품,화장품,화장품_브랜드,"Sansim, Hyoum, ossion"
3350,한국화장품제조,개인생활용품,화장품,화장품_OEMODM,OEM&ODM
30520,한글과컴퓨터,일반소프트웨어,인터넷,소프트웨어,한컴오피스
52600,한네트,상업서비스,인터넷,결제시스템,ATM(점외 CD-VAN)
11500,한농화성,화학,기초소재,계면활성제,계면활성제
2390,한독,제약,헬스케어,제약_완제의약품,"(내분비계) 아마릴(인슐린 비의존형 당뇨병), 솔리리스(발작성 야간 혈색소뇨증)"
256150,한독크린텍,가정생활용품,전자제품,가정용_전자제품,정수기 필터 등
92460,한라IMS,조선,조선,조선기자재,선박평향수처리장치
53690,한미글로벌,건설,건설,건설서비스,건설사업관리 
42700,한미반도체,반도체및관련장비,반도체,반도체_장비(후공정),불량 패키징 제품 색출 장비(VISION PLACEMENT)
8930,한미사이언스,제약,지주사,지주사,지주사
128940,한미약품,제약,헬스케어,제약_완제의약품,(순환기계) 고지혈증
452190,한빛레이저,전자장비및기기,배터리,배터리_장비,2차전지 및 자동차 제조장비
47080,한빛소프트,게임소프트웨어,게임,게임_KOSDAQ,"그라나도 에스파다, 에이카, 오디션"
9240,한샘,내구소비재,건설,가구_가정용,주방 및 인테리어 가구
452280,한선엔지니어링,기계,기계,유체기계,"계측장비용 피팅, 밸브 및 플러밍 전문 기업"
20000,한섬,섬유및의복,패션,의류_브랜드,"TIME, SYSTEM 등(여성의류)"
3680,한성기업,식료품,음식료,수산,수산
66980,한성크린텍,건설,에너지,플랜트_엔지니어링,산업 플랜트 수처리 전문
105630,한세실업,섬유및의복,패션,의류_OEMODM,"OEM/ODM(TARGET, OLD NAVY, GAP 등)"
69640,한세엠케이,섬유및의복,패션,의류_브랜드,"TBJ, AnDew, NBA 등"
16450,한세예스24홀딩스,섬유및의복,지주사,지주사,지주사
10420,한솔PNS,종이및목재,인터넷,SI_계열,시스템통합(SI): 한솔
9180,한솔로지스틱스,육상운수,운송,물류,종합물류
114810,한솔아이원스,반도체및관련장비,반도체,반도체_장비(전공정),정밀 가공 및 세정
70590,한솔인티큐브,IT서비스,통신,컨택센터,컨택센터(콜센터) 서비스 
213500,한솔제지,종이및목재,종이,인쇄용지,인쇄용지
14680,한솔케미칼,화학,기초소재,석유화학,"제지, 섬유, 반도체, 2차전지 등에 사용되는 정밀화학제품"
4710,한솔테크닉스,전자장비및기기,전자제품,전자부품,SMPS(전원공급장치)
4150,한솔홀딩스,복합산업,지주사,지주사,지주사
25750,한솔홈데코,종이및목재,건설,건자재_목재,"보드(MDF), 강화마루"
226440,한송네오텍,전자장비및기기,디스플레이,디스플레이_장비,유기물증착공정 관련된 FMM(Fine Metal Mask) 연관 장비 및 검사장비
42520,한스바이오메드,의료장비및서비스,헬스케어,의료기기_정형외과,"피부, 뼈 이식재"
4960,한신공영,건설,건설,건설,"토목 및 건축, 주택 공급업"
11700,한신기계,기계,기계,일반기계,공기압축기 전문 제조
430690,한싹,일반소프트웨어,보안,네트워크보안,망간자료전송 및 패스워드 관리
78350,한양디지텍,반도체및관련장비,반도체,반도체_패키징,반도체 패키징(메모리모듈 제조)
45100,한양이엔지,반도체및관련장비,반도체,반도체_설비공사,반도체/디스플레이 특수 유틸리티 설비 및 유지보수
1750,한양증권,증권,금융,증권,증권업
18880,한온시스템,자동차부품,Auto,자동차부품_대형사,대형 자동차부품사
9420,한올바이오파마,제약,헬스케어,제약_완제의약품,(항셍제) 노르믹스정(항생제)
91440,한울소재과학,통신장비,통신,통신장비,광전송장비
14130,한익스프레스,육상운수,운송,물류,종합물류
24740,한일단조,자동차부품,Auto,자동차부품_단조,"단조부품(볼트, 너트 등)"
5860,한일사료,식료품,음식료,사료,사료
300720,한일시멘트,건축소재,건설,시멘트,시멘트
2220,한일철강,금속및광물,기초소재,철강_유통,대리점(포스코 열연)
6390,한일현대시멘트,건축소재,건설,시멘트,시멘트
3300,한일홀딩스,건축소재,지주사,지주사,지주사
7770,한일화학,화학,기초소재,비철금속_아연,아연
51600,한전KPS,전력,에너지,전력_발전정비,플랜트설비 및 발전정비
52690,한전기술,에너지시설및서비스,에너지,원자력,원자력발전소 설계 및 엔지니어링
130660,한전산업,에너지시설및서비스,에너지,전력_발전,주요 화력발전소의 연료공급 및 환경설비의 운전 및 정비
198940,한주라이트메탈,자동차부품,Auto,자동차부품_주물,자동차부품용 주물
2320,한진,육상운수,운송,물류,종합물류
3480,한진중공업홀딩스,가스,지주사,지주사,지주사
180640,한진칼,항공운수,지주사,지주사,지주사
5110,한창,상업서비스,건설,건자재_배관재,배관재산업(소방관련)
79170,한창산업,화학,기초소재,비철금속_아연,아연
9460,한창제지,종이및목재,종이,백판지,백판지
372910,한컴라이프케어,의료장비및서비스,전문서비스,B2B서비스,"개인용 안전장비(호흡기, 마스크, 피복 등)"
54920,한컴위드,금속및광물,보안,암호인증,PKI 및 암호기술 기반의 보안솔루션
2680,한탑,식료품,음식료,제당제분,제당/제분 등
880,한화,복합산업,지주사,지주사,지주사
452260,한화갤러리아,백화점,유통,백화점,백화점
88350,한화생명,보험,금융,생명보험,생명보험
370,한화손해보험,보험,금융,손해보험,손해보험
9830,한화솔루션,에너지시설및서비스,에너지,신재생_태양광,"태양광 셀, 모듈 등"
272210,한화시스템,상업서비스,방산,방산,방산
12450,한화에어로스페이스,상업서비스,방산,방산,방산
82740,한화엔진,조선,조선,선박엔진,선박엔진
42660,한화오션,조선,조선,조선,조선
3530,한화투자증권,증권,금융,증권,증권업
195870,해성디에스,반도체및관련장비,반도체,반도체_패키징재료,리드프레임
34810,해성산업,종이및목재,건설,임대관리,건물관리
59270,해성에어로보틱스,기계,기계,건설기계_부품,엘리베이터와 에스컬레이터의 핵심부품인 승강기용 권상기(감속기)
76610,해성옵틱스,휴대폰및관련부품,스마트폰,카메라_렌즈,렌즈모듈 등 
101530,해태제과식품,식료품,음식료,제과제빵,제과/제빵사업
220180,핸디소프트,일반소프트웨어,인터넷,소프트웨어,B2B 소프트웨어(EKP/BPM)
143210,핸즈코퍼레이션,자동차부품,Auto,자동차부품_제동조향,휠
900270,헝셩그룹,레저용품,외국계,CNY,봉제 및 전동 완구
214180,헥토이노베이션,IT서비스,보안,암호인증,본인인증
234340,헥토파이낸셜,IT서비스,인터넷,결제시스템,"가상계좌, 펌뱅킹, 간편현금결제, PG서비스 등"
84990,헬릭스미스,바이오,헬스케어,바이오_기술이전,유전자 치료제
720,현대건설,건설,건설,건설,"국내외 건축, 토목, 플랜트, 주택 등"
170030,현대공업,자동차부품,Auto,자동차부품_차체,자동차 Seat
453340,현대그린푸드,식료품,음식료,식자재_유통,식자재유통
86280,현대글로비스,육상운수,운송,물류,종합물류
64350,현대로템,운송인프라,운송,철도,철도
79430,현대리바트,내구소비재,건설,가구_가정용,"가정용, 사무용, 빌트인 가구"
12330,현대모비스,자동차부품,Auto,자동차부품_대형사,대형 자동차부품사
319400,현대무벡스,운송인프라,기계,일반기계,"물류자동화, 승강장 안전문 사업"
48410,현대바이오,개인생활용품,화장품,화장품_브랜드,바이오 화장품(피부재생용 유/무기 복합 신소재)
52260,현대바이오랜드,개인생활용품,화장품,화장품_원부자재,화장품 원료산업
69960,현대백화점,백화점,유통,백화점,백화점
4560,현대비앤지스틸,금속및광물,기초소재,철강_스테인리스,스테인리스 냉연 강판
4310,현대약품,제약,헬스케어,제약_완제의약품,"(피부기계) 마이녹실, 미에로화이바(탈모치료제, 미에로화이바등)"
41440,현대에버다임,기계,기계,건설기계_부품,건설기계부품(유압브레이커)
39010,현대에이치티,보안장비,건설,Smart Home,Home Network
17800,현대엘리베이,기계,기계,건설기계,건설기계
307950,현대오토에버,IT서비스,인터넷,SI_계열,시스템통합(SI): 현대차
11210,현대위아,자동차부품,Auto,자동차부품_대형사,대형 자동차부품사
90850,현대이지웰,인터넷서비스,전문서비스,B2B서비스,근로자복지
4020,현대제철,금속및광물,기초소재,철강,고로 제강업
5440,현대지에프홀딩스,복합산업,지주사,지주사,지주사
5380,현대차,자동차,Auto,완성차,완성차
1500,현대차증권,증권,금융,증권,증권업
11760,현대코퍼레이션,무역,에너지,종합상사,종합상사
227840,현대코퍼레이션홀딩스,식료품,음식료,육계,육계(수입유통)
126560,현대퓨처넷,개인생활용품,방송미디어,케이블,종합유선방송사업자
1450,현대해상,보험,금융,손해보험,손해보험
57050,현대홈쇼핑,온라인쇼핑,유통,온라인,홈쇼핑
460930,현대힘스,조선,조선,조선기자재,조선블록업체
92300,현우산업,전자장비및기기,PCB,PCB,인쇄회로기판(PCB)
138360,협진,기계,기계,일반기계,스파이럴프리져
11080,형지I&C,섬유및의복,패션,의류_브랜드,"YEZAC, 캐리스노트 등"
93240,형지엘리트,섬유및의복,패션,패션잡화,핸드백 및 교복
3010,혜인,기계,기계,건설기계,건설기계
